都道府県,1人当たりの県民所得,昼夜間人口比率,総人口,単独世帯割合
北海道,2682,100.0,509,40.49
青森県,2633,99.9,118,33.14
岩手県,2666,99.8,116,33.27
宮城県,2803,100.1,226,36.94
秋田県,2583,99.8,91,30.55
山形県,2843,99.7,103,28.43
福島県,2833,100.1,177,33.15
茨城県,3098,97.8,283,32.65
栃木県,3132,99.1,190,32.91
群馬県,2937,100.0,190,32.38
埼玉県,2890,89.6,733,33.95
千葉県,2988,90.3,626,36.26
東京都,5214,116.1,1409,50.24
神奈川県,2961,91.7,923,39.21
新潟県,2784,100.0,213,30.85
富山県,3120,99.8,101,29.66
石川県,2770,100.2,111,34.67
福井県,3182,100.1,74,29.68
山梨県,2982,99.3,80,32.60
長野県,2788,99.7,200,31.03
岐阜県,2875,96.6,193,29.36
静岡県,3110,99.8,356,31.88
愛知県,3428,101.2,748,36.35
三重県,2948,98,6,173,33.01
滋賀県,3097,96.9,141,31.90
京都府,2745,101.7,254,41.20
大阪府,2830,103.9,876,41.85
兵庫県,2887,96.1,537,35.95
奈良県,2501,91.1,130,29.27
和歌山県,2751,98.5,89,32.51
鳥取県,2313,99.8,54,32.25
島根県,2768,100.1,65,33.17
岡山県,2665,100.0,185,35.63
広島県,2969,100.2,274,37.30
山口県,2960,99.6,130,36.53
徳島県,3013,99.6,70,35.65
香川県,2766,100.1,93,34.43
愛媛県,2471,100.1,129,37.47
高知県,2491,99.9,67,39.09
福岡県,2630,100.1,510,40.67
佐賀県,2575,100.4,80,30.30
長崎県,2483,99.7,127,34.43
熊本県,2498,99.6,171,33.90
大分県,2604,99.9,110,35.95
宮崎県,2289,99.9,104,35.81
鹿児島県,2408,99.9,155,38.94
沖縄県,2167,100.0,147,37.44


